   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Macedônia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Meridiano";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Mira Estrela";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Ouroeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Pedranópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Populina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"São João das Duas Pontes";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Turmalina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";

"Região de Governo de Jales";

"Aparecida d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Aspásia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Dirce Reis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Dolcinópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Jales";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Marinópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Mesópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Nova Canaã Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Palmeira d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Paranapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Pontalinda";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Rubinéia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Albertina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Clara d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Fé do Sul";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Rita d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Salete";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santana da Ponte Pensa";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"São Francisco";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Três Fronteiras";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Urânia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Vitória Brasil";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";

"Região de Governo de São José do Rio Preto";

"Adolfo";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Bady Bassitt";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Bálsamo";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Cedral";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Guapiaçu";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Ibirá";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Icém";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Ipiguá";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Jaci";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"José Bonifácio";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Mendonça";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Mirassol";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Mirassolândia";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Monte Aprazível";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Neves Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nipoã";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nova Aliança";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Nova Granada";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Onda Verde";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Orindiúva";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Palestina";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Paulo de Faria";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Planalto";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Poloni";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Potirendaba";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"São José do Rio Preto";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Tanabi";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Ubarana";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Uchôa";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"União Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Zacarias";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";

"Região de Governo de Votuporanga";

"Álvares Florence";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Américo de Campos";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Cardoso";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Cosmorama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Floreal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Macaubal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Magda";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Monções";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Nhandeara";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Parisi";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Pontes Gestal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Riolândia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Sebastianópolis do Sul";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Valentim Gentil";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Votuporanga";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";

"Região Administrativa de Araçatuba";


"Região de Governo de Andradina";

"Andradina";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Castilho";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Guaraçaí";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Ilha Solteira";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Itapura";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Lavínia";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Mirandópolis";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Murutinga do Sul";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Nova Independência";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Pereira Barreto";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Sud Mennucci";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Suzanápolis";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";

"Região de Governo de Araçatuba";

"Alto Alegre";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Araçatuba";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Auriflama";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Avanhandava";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Barbosa";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Bento de Abreu";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Bilac";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Birigui";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Braúna";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Brejo Alegre";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Buritama";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Clementina";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Coroados";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gabriel Monteiro";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gastão Vidigal";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"General Salgado";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Glicério";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guararapes";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guzolândia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Lourdes";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Luiziânia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Nova Castilho";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Nova Luzitânia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Penápolis";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Piacatu";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Rubiácea";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Santo Antonio do Aracanguá";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Santópolis do Aguapeí";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"São João de Iracema";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Turiúba";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Valparaíso";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";

"Região Administrativa de Presidente Prudente";


"Região de Governo de Adamantina";

"Adamantina";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Flora Rica";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Flórida Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Inúbia Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Irapuru";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Lucélia";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Mariápolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Osvaldo Cruz";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Pacaembu";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Pracinha";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Sagres";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Salmourão";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";

"Região de Governo de Dracena";

"Dracena";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Junqueirópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Monte Castelo";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Nova Guataporanga";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Ouro Verde";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Panorama";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Paulicéia";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Santa Mercedes";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"São João do Pau d'Alho";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Tupi Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";

"Região de Governo de Presidente Prudente";

"Alfredo Marcondes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Álvares Machado";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Anhumas";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Caiabu";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Caiuá";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Emilianópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Estrela do Norte";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Euclides da Cunha Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Iepê";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Indiana";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Marabá Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Martinópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Mirante do Paranapanema";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Nantes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Narandiba";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Piquerobi";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Pirapozinho";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Bernardes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Epitácio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Prudente";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Venceslau";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Rancharia";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Regente Feijó";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Ribeirão dos Índios";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Rosana";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Sandovalina";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Santo Anastácio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Santo Expedito";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Taciba";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Tarabaí";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Teodoro Sampaio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";

"Região Administrativa de Marília";


"Região de Governo de Assis";

"Assis";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Campos Novos Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Cândido Mota";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Cruzália";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Florínia";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Ibirarema";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Lutécia";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Maracaí";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Palmital";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Paraguaçu Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Pedrinhas Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Platina";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Tarumã";"Região Administrativa de Marília";"Região de Governo de Assis";"-";

"Região de Governo de Marília";

"Álvaro de Carvalho";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Alvinlândia";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Echaporã";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Fernão";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Gália";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Garça";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Júlio Mesquita";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Lupércio";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Marília";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Ocauçu";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Oriente";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Oscar Bressane";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Pompéia";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Vera Cruz";"Região Administrativa de Marília";"Região de Governo de Marília";"-";

"Região de Governo de Ourinhos";

"Bernardino de Campos";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Canitar";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Chavantes";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Espírito Santo do Turvo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Ipaussu";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Óleo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Ourinhos";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Ribeirão do Sul";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Salto Grande";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Santa Cruz do Rio Pardo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"São Pedro do Turvo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Timburi";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";

"Região de Governo de Tupã";

"Arco Íris";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Bastos";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Borá";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Herculândia";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Iacri";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"João Ramalho";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Parapuã";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Quatá";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Queiroz";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Quintana";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Rinópolis";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Tupã";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";

"Região Administrativa Central";


"Região de Governo de Araraquara";

"Américo Brasiliense";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Araraquara";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Boa Esperança do Sul";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Borborema";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Cândido Rodrigues";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Dobrada";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Fernando Prestes";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Gavião Peixoto";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Ibitinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Itápolis";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Matão";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Motuca";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Nova Europa";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Rincão";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Santa Ernestina";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Santa Lucia";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Tabatinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Taquaritinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Trabiju";"Região Administrativa Central";"Região de Governo de Araraquara";"-";

"Região de Governo de São Carlos";

"Descalvado";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Dourado";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Ibaté";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Porto Ferreira";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Ribeirão Bonito";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Santa Rita do Passa Quatro";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"São Carlos";"Região Administrativa Central";"Região de Governo de São Carlos";"-";

"Região Administrativa de Barretos";


"Região de Governo de Barretos";

"Altair";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Barretos";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Bebedouro";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Cajobi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Colina";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Colômbia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Embaúba";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guaíra";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guaraci";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Jaborandi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Monte Azul Paulista";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Olímpia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Pirangi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Severínia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Taiaçu";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Taiúva";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Terra Roxa";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Viradouro";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Vista Alegre do Alto";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";

"Região Administrativa de Franca";


"Região de Governo de Franca";

"Aramina";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Batatais";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Buritizal";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Cristais Paulista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Franca";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Guará";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Igarapava";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Itirapuã";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Ituverava";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Jeriquara";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Miguelópolis";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Patrocínio Paulista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Pedregulho";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Restinga";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Ribeirão Corrente";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Rifaina";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"São José da Bela Vista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";

"Região de Governo de São Joaquim da Barra";

"Ipuã";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Morro Agudo";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Nuporanga";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Orlândia";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Sales Oliveira";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"São Joaquim da Barra";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";

"Região Administrativa de Itapeva";


"Região de Governo de Itapeva";

"Angatuba";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Apiaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Arandu";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Barão de Antonina";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Barra do Chapéu";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Bom Sucesso de Itararé";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Buri";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Campina do Monte Alegre";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Capão Bonito";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Coronel Macedo";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Fartura";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Guapiara";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Iporanga";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itaberá";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itaóca";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itapeva";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itapirapuã Paulista";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itaporanga";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Itararé";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Nova Campina";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Paranapanema";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Piraju";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeira";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeirão Branco";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeirão Grande";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Riversul";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
